name	slug	feed
CodePen Radio	codepen-radio	http://blog.codepen.io/feed/podcast/
Kalzumeus Software	kalzumeus-software	http://www.kalzumeus.com/category/podcasts/feed/
Crater	crater	http://podcast.crater.io/feed/
Boss Level	boss-level	https://simplecast.com/podcasts/1367/rss
React	react	http://feeds.feedburner.com/reactjspodcast
Unfinished Business	unfinished-business	http://feeds.feedburner.com/buzzsprout/uJEz
Women’s Tech Radio	womens-tech-radio	http://feeds.feedburner.com/wtrmp3
Geek Joy	geek-joy	http://geekjoypodcast.libsyn.com/rss
Arrested DevOps	arrested-devops	https://www.arresteddevops.com/feed/
Ops All The Things!	ops-all-the-things	http://opsallthethings.s3-website-us-east-1.amazonaws.com/podcast.xml
Frontside	frontside	https://simplecast.com/podcasts/96/rss
PageBreak	pagebreak	http://feeds.feedburner.com/pagebreakpodcast
Lady Loves Code	lady-loves-code	http://www.ladylovescode.com/category/podcast/feed/
It's a Thing	its-a-thing	http://feeds.feedburner.com/itsathing/cCoG
Hello Internet	hello-internet	http://www.hellointernet.fm/podcast?format=rss
omega tau	omega-tau	http://omegataupodcast.net/englishOnly.php
Ryan Ripley	ryan-ripley	http://agileanswerman.com/category/podcast/feed/
Talking Headways	talking-headways	http://streetsblog.libsyn.com/rss
Loosely Coupled	loosely-coupled	http://feeds.feedburner.com/looselycoupled-podcast
Hello World	hello-world	http://hwpod.libsyn.com/rss
ANTIC: Atari 8-bit	antic	http://ataripodcast.libsyn.com/rss
Food Fight	foodfight	http://foodfight.libsyn.com/rss
bsdtalk	bsdtalk	http://feeds.feedburner.com/Bsdtalk
Coding 101	coding-101	http://feeds.twit.tv/code.xml
Bad Voltage	bad-voltage	http://www.badvoltage.org/feed/mp3/
Mostly Erlang	mostly-erlang	http://feeds.feedburner.com/MostlyErlangPodcast
TTL	ttl	http://ttlpodcast.com/feeds/rss.xml
Type Theory	type-theory	http://typetheorypodcast.com/feed/podcast
Debian & Stuff	debian-and-stuff	http://www.debianandstuff.com/listen/?format=rss
How to Hold a Pencil	how-to-hold-a-pencil	https://simplecast.com/podcasts/31/rss
How to Program with Java	how-to-program-with-java	http://feeds.feedburner.com/howtoprogramwithjava
Rebuild	rebuild	http://feeds.rebuild.fm/rebuildfm
CDNify	cdnify	http://feeds.feedburner.com/cdnify
Mostly λazy	mostly-lazy	http://feeds.feedburner.com/MostlyLazy
Bionic	bionic	http://feeds.5by5.tv/bionic
Import This	import-this	http://feeds.soundcloud.com/users/soundcloud:users:82237854/sounds.rss
Molecular Coding	molecular-coding	http://dalkescientific.com/podcast/Molecular_Coding/Podcast/rss.xml
From Python Import Podcast	from-python-import-podcast	http://feeds.feedburner.com/FromPythonImportPodcast
Ladies in Tech	ladies-in-tech	http://ladiesintech.com/feed/podcast/
Tectonic	tectonic	http://tectonicpodcast.com/feed/
Astronomy 141 - Life in the Universe	astronomy-141-life-in-the-universe	http://www.astronomy.ohio-state.edu/~pogge/Ast141/Audio/Ast141Au09.xml
{CodingBlocks}.NET	codingblocks	http://www.codingblocks.net/feed/
